Iteration: 0
Iteration: 0
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 125089, total: 19008000, rate: 403825 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 9558, total: 19008000, rate: 31486 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 10222, total: 19008000, rate: 33207 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 2300, total: 19008000, rate: 7445 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 2264, total: 19008000, rate: 7381 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 9, total: 19008000, rate: 29 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 13506, total: 19008000, rate: 43396 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 25227, total: 19008000, rate: 81528 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 64, total: 19008000, rate: 206 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 39, total: 19008000, rate: 126 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 37, total: 19008000, rate: 121 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 16, total: 19008000, rate: 52 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_02_13-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_2_13-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_2_13-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_2_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_2_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_2_13-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
