test,suite,a100,h100,gh200,gb10
three_2w_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,core,not seen,not seen,not seen,not seen
counterexample_TB_012_3_SCOPE_SYSTEM_NO_FENCE_DEFAULT,core,untested,untested,untested,untested
counterexample_TB_012_3_SCOPE_DEVICE_NO_FENCE_DEFAULT,core,untested,untested,untested,untested
